tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,33581,6944,9401050,148537,2017-08-01 16:23:56
892177421306343426,29134,5248,9401050,148537,2017-08-01 00:17:27
891815181378084864,21919,3459,9401001,148533,2017-07-31 00:18:03
891689557279858688,36644,7156,9401001,148533,2017-07-30 15:58:51
891327558926688256,35030,7694,9401050,148537,2017-07-29 16:00:24
891087950875897856,17686,2571,9401001,148533,2017-07-29 00:08:17
890971913173991426,10289,1640,9401001,148533,2017-07-28 16:27:12
890729181411237888,56461,15634,9401001,148533,2017-07-28 00:22:40
890609185150312448,24352,3596,9401001,148533,2017-07-27 16:25:51
890240255349198849,27747,6047,9401050,148537,2017-07-26 15:59:51
890006608113172480,26858,6094,9401001,148533,2017-07-26 00:31:25
889880896479866881,24403,4124,9401050,148537,2017-07-25 16:11:53
889665388333682689,41725,8271,9401001,148533,2017-07-25 01:55:32
889638837579907072,23492,3686,9401050,148537,2017-07-25 00:10:02
889531135344209921,13270,1869,9401050,148537,2017-07-24 17:02:04
889278841981685760,21936,4404,9401001,148533,2017-07-24 00:19:32
888917238123831296,25451,3733,9401001,148533,2017-07-23 00:22:39
888804989199671297,22313,3502,9401001,148533,2017-07-22 16:56:37
888554962724278272,17205,2856,9401001,148533,2017-07-22 00:23:06
888078434458587136,19038,2875,9401001,148533,2017-07-20 16:49:33
887705289381826560,26432,4504,9401001,148533,2017-07-19 16:06:48
887517139158093824,40440,9780,9401001,148533,2017-07-19 03:39:09
887473957103951883,59754,14906,9401001,148533,2017-07-19 00:47:34
887343217045368832,29380,8747,9401001,148533,2017-07-18 16:08:03
887101392804085760,26806,4958,9401050,148537,2017-07-18 00:07:08
886983233522544640,30133,6258,9401001,148533,2017-07-17 16:17:36
886736880519319552,10431,2604,9401001,148533,2017-07-16 23:58:41
886680336477933568,19595,3708,9401001,148533,2017-07-16 20:14:00
886366144734445568,18428,2608,9401050,148537,2017-07-15 23:25:31
886267009285017600,103,4,9401001,148533,2017-07-15 16:51:35
886258384151887873,24360,5230,9401001,148533,2017-07-15 16:17:19
886054160059072513,0,93,9401050,148537,2017-07-15 02:45:48
885984800019947520,28405,5572,9401001,148533,2017-07-14 22:10:11
